@mightex_spectrum_save,2,2,0
2017-01-03 3:16:56 PM
HRS-BD1-025
08-140513-003
100
0
3648
328600
 1.16484842223230E+0003
-2.43854246430248E-0001
-4.79814220617963E-0006
 4.37608702651841E-0010
 4.54024498676284E+0003
-3.84760048454191E+0000
 8.04072645756477E-0005
-1.05108087843893E-0007
0
5
1
1
PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3,
34, 1.15655184840105E+0003, 1.20800000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.13821764932533E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.13821764832533E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.06922205406830E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.61010311972064E+0002, 1.00000000000000E-0007, 1.50628376062757E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
35, 1.15630766464551E+0003, 3.20000000000005E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.10391683514749E-0009, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.43669655153736E+0001, 1.00000000000000E-0007, 8.38680144689427E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
36, 1.15606347138558E+0003, 2.64000000000001E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.24942471122926E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.24942461122926E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.89376631397805E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.12290498217953E+0001, 1.00000000000000E-0007, 5.38536539372733E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
37, 1.15581926862389E+0003, 5.90000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.14838673092728E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.14838672092728E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.28272069546674E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.23405300591788E+0001, 1.00000000000000E-0007,-1.08132103062456E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
38, 1.15557505636307E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.22290273818543E-0009, 0.00000000000000E+0000, 0.00000000000000E+0000, 8.17726519677123E+0001, 1.00000000000000E-0007, 8.91260808204756E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
39, 1.15533083460574E+0003, 7.54000000000001E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.06985513371258E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.06985512371258E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.07842141065050E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 8.57515365584142E+0001, 1.00000000000000E-0007, 1.50063584894771E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
40, 1.15508660335452E+0003, 7.35999999999999E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.85902682298020E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.85902681298020E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.44475911158141E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.31818770509154E+0002, 1.00000000000000E-0007, 3.52151770775058E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
41, 1.15484236261204E+0003, 2.25999999999999E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.38759029908683E-0008, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.18832326627590E+0000, 1.00000000000000E-0007, 7.62204018397042E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
42, 1.15459811238093E+0003, 3.02000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.70890984206067E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.70890974206067E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.90126437919646E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.05462271655177E+0001, 1.00000000000000E-0007, 7.20957487301334E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
43, 1.15435385266382E+0003, 6.40000000000009E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.67331653112243E-0009, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.97615562507602E+0001, 1.00000000000000E-0007, 8.77642189769103E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
